exp_id,method,map,rnd_seed,agent_id,agent_type,velocity,total_cost,distance,time,traversability,collision,safety,step_size,cost_scaling,lambda_good_trav,lambda_bad_trav,gamma_collision,d_05_collision,solver_seconds
1766337554714624105,maxSpan_hom,forest,42,1,AERIAL,1,24048,81.8014,81.8014,0,0.095975,0.095975,0.25,2,1e-05,0.05,10,0.1,120
1766337554714624105,maxSpan_hom,forest,42,2,GROUND,0.5,23952,81.4804,162.961,0.442034,0,0.442034,0.25,2,1e-05,0.05,10,0.1,120
1766337554714624105,maxSpan_het,forest,42,1,AERIAL,1,34416,114.158,114.158,0,0.0218337,0.0218337,0.25,2,1e-05,0.05,10,0.1,120
1766337554714624105,maxSpan_het,forest,42,2,GROUND,0.5,33414,50.9263,101.853,0.0833923,0,0.0833923,0.25,2,1e-05,0.05,10,0.1,120
1766338042221627280,maxSpan_hom,park,42,1,AERIAL,1,31580,145.9,145.9,0,0.117875,0.117875,1.5,2,1e-05,0.05,10,0.1,120
1766338042221627280,maxSpan_hom,park,42,2,GROUND,0.5,31656,146.261,292.521,0.874576,0,0.874576,1.5,2,1e-05,0.05,10,0.1,120
1766338042221627280,maxSpan_het,park,42,1,AERIAL,1,51833,224.548,224.548,0,0.105157,0.105157,1.5,2,1e-05,0.05,10,0.1,120
1766338042221627280,maxSpan_het,park,42,2,GROUND,0.5,51764,100.374,200.749,0.256188,0,0.256188,1.5,2,1e-05,0.05,10,0.1,120
