exp_id,method,map,rnd_seed,agent_id,agent_type,velocity,total_cost,distance,time,traversability,collision,safety,step_size,cost_scaling,lambda_good_trav,lambda_bad_trav,gamma_collision,d_05_collision,solver_seconds
1762791944668497502,maxSpan_het,forest,42,4,GROUND,0.5,27609,37.581,75.1621,0.000377238,0,0.000377238,0.25,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_hom,orchard,42,1,AERIAL,1,20587,48.7108,48.7108,0,0.925953,0.925953,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_hom,orchard,42,2,AERIAL,1,20303,46.5019,46.5019,0,0.963277,0.963277,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_hom,orchard,42,3,GROUND,0.5,20542,51.0886,102.177,0.739559,0,0.739559,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_hom,orchard,42,4,GROUND,0.5,20534,51.0221,102.044,0.66223,0,0.66223,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_het,orchard,42,1,AERIAL,1,43307,75.2817,75.2817,0,0.17513,0.17513,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_het,orchard,42,2,AERIAL,1,43277,49.7964,49.7964,0,0.215813,0.215813,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_het,orchard,42,3,GROUND,0.5,43350,54.0253,108.051,0.000544846,0,0.000544846,0.5,5,1e-05,0.1,10,0.3,120
1762792188082932544,maxSpan_het,orchard,42,4,GROUND,0.5,42968,50.5065,101.013,0.00051111,0,0.00051111,0.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_hom,park,42,1,AERIAL,1,16739,93.0843,93.0843,0,0.786322,0.786322,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_hom,park,42,2,AERIAL,1,16426,91.1034,91.1034,0,0.987526,0.987526,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_hom,park,42,3,GROUND,0.5,16762,95.8734,191.747,0.95407,0,0.95407,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_hom,park,42,4,GROUND,0.5,16752,95.0698,190.14,0.927971,0,0.927971,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_het,park,42,1,AERIAL,1,33076,158.751,158.751,0,0.0928401,0.0928401,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_het,park,42,2,AERIAL,1,33033,159.484,159.484,0,0.0857669,0.0857669,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_het,park,42,3,GROUND,0.5,33082,77.5683,155.137,0.104859,0,0.104859,1.5,5,1e-05,0.1,10,0.3,120
1762792431607889471,maxSpan_het,park,42,4,GROUND,0.5,13514,38.2861,76.5722,0.000387907,0,0.000387907,1.5,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_hom,cave,42,1,AERIAL,1,19740,812.977,812.977,0,0.872455,0.872455,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_hom,cave,42,2,AERIAL,1,19734,821.051,821.051,0,0.937371,0.937371,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_hom,cave,42,3,GROUND,0.5,19725,853.674,1707.35,0.999999,0,0.999999,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_hom,cave,42,4,GROUND,0.5,19714,798.218,1596.44,0.999922,0,0.999922,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_het,cave,42,1,AERIAL,1,39478,1160.93,1160.93,0,0.247323,0.247323,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_het,cave,42,2,AERIAL,1,39496,1665.5,1665.5,0,0.0177387,0.0177387,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_het,cave,42,3,GROUND,0.5,39455,789.02,1578.04,0.00796586,0,0.00796586,3,5,1e-05,0.1,10,0.3,120
1762792675071242695,maxSpan_het,cave,42,4,GROUND,0.5,8317,162.351,324.702,0.00164562,0,0.00164562,3,5,1e-05,0.1,10,0.3,120
